SK_Date,Date,Day,DayName,DayOfWeek,Month,MonthName,Year,IsWeekend
20160618,2016-06-18,18,Saturday,7,6,June,2016,true
20160619,2016-06-19,19,Sunday,1,6,June,2016,true
20160620,2016-06-20,20,Monday,2,6,June,2016,false
20160621,2016-06-21,21,Tuesday,3,6,June,2016,false
20160622,2016-06-22,22,Wednesday,4,6,June,2016,false
20160623,2016-06-23,23,Thursday,5,6,June,2016,false
20160624,2016-06-24,24,Friday,6,6,June,2016,false
20160625,2016-06-25,25,Saturday,7,6,June,2016,true
20160626,2016-06-26,26,Sunday,1,6,June,2016,true
20160627,2016-06-27,27,Monday,2,6,June,2016,false
20160628,2016-06-28,28,Tuesday,3,6,June,2016,false
20160629,2016-06-29,29,Wednesday,4,6,June,2016,false
20160630,2016-06-30,30,Thursday,5,6,June,2016,false
20160701,2016-07-01,1,Friday,6,7,July,2016,false
20160702,2016-07-02,2,Saturday,7,7,July,2016,true
20160703,2016-07-03,3,Sunday,1,7,July,2016,true
20160704,2016-07-04,4,Monday,2,7,July,2016,false
20160705,2016-07-05,5,Tuesday,3,7,July,2016,false
20160706,2016-07-06,6,Wednesday,4,7,July,2016,false
20160707,2016-07-07,7,Thursday,5,7,July,2016,false
20160708,2016-07-08,8,Friday,6,7,July,2016,false
20160709,2016-07-09,9,Saturday,7,7,July,2016,true
20160710,2016-07-10,10,Sunday,1,7,July,2016,true
20160711,2016-07-11,11,Monday,2,7,July,2016,false
20160712,2016-07-12,12,Tuesday,3,7,July,2016,false
20160713,2016-07-13,13,Wednesday,4,7,July,2016,false
20160714,2016-07-14,14,Thursday,5,7,July,2016,false
20160715,2016-07-15,15,Friday,6,7,July,2016,false
20160716,2016-07-16,16,Saturday,7,7,July,2016,true
20160717,2016-07-17,17,Sunday,1,7,July,2016,true
20160718,2016-07-18,18,Monday,2,7,July,2016,false
20160719,2016-07-19,19,Tuesday,3,7,July,2016,false
20160720,2016-07-20,20,Wednesday,4,7,July,2016,false
20160721,2016-07-21,21,Thursday,5,7,July,2016,false
20160722,2016-07-22,22,Friday,6,7,July,2016,false
20160723,2016-07-23,23,Saturday,7,7,July,2016,true
20160724,2016-07-24,24,Sunday,1,7,July,2016,true
20160725,2016-07-25,25,Monday,2,7,July,2016,false
20160726,2016-07-26,26,Tuesday,3,7,July,2016,false
20160727,2016-07-27,27,Wednesday,4,7,July,2016,false
20160728,2016-07-28,28,Thursday,5,7,July,2016,false
20160729,2016-07-29,29,Friday,6,7,July,2016,false
20160730,2016-07-30,30,Saturday,7,7,July,2016,true
20160731,2016-07-31,31,Sunday,1,7,July,2016,true
20160801,2016-08-01,1,Monday,2,8,August,2016,false
20160802,2016-08-02,2,Tuesday,3,8,August,2016,false
20160803,2016-08-03,3,Wednesday,4,8,August,2016,false
20160804,2016-08-04,4,Thursday,5,8,August,2016,false
20160805,2016-08-05,5,Friday,6,8,August,2016,false
20160806,2016-08-06,6,Saturday,7,8,August,2016,true
20160807,2016-08-07,7,Sunday,1,8,August,2016,true
20160808,2016-08-08,8,Monday,2,8,August,2016,false
20160809,2016-08-09,9,Tuesday,3,8,August,2016,false
20160810,2016-08-10,10,Wednesday,4,8,August,2016,false
20160811,2016-08-11,11,Thursday,5,8,August,2016,false
20160812,2016-08-12,12,Friday,6,8,August,2016,false
20160813,2016-08-13,13,Saturday,7,8,August,2016,true
20160814,2016-08-14,14,Sunday,1,8,August,2016,true
20160815,2016-08-15,15,Monday,2,8,August,2016,false
20160816,2016-08-16,16,Tuesday,3,8,August,2016,false
20160817,2016-08-17,17,Wednesday,4,8,August,2016,false
20160818,2016-08-18,18,Thursday,5,8,August,2016,false
20160819,2016-08-19,19,Friday,6,8,August,2016,false
20160820,2016-08-20,20,Saturday,7,8,August,2016,true
20160821,2016-08-21,21,Sunday,1,8,August,2016,true
20160822,2016-08-22,22,Monday,2,8,August,2016,false
20160823,2016-08-23,23,Tuesday,3,8,August,2016,false
20160824,2016-08-24,24,Wednesday,4,8,August,2016,false
20160825,2016-08-25,25,Thursday,5,8,August,2016,false
20160826,2016-08-26,26,Friday,6,8,August,2016,false
20160827,2016-08-27,27,Saturday,7,8,August,2016,true
20160828,2016-08-28,28,Sunday,1,8,August,2016,true
20160829,2016-08-29,29,Monday,2,8,August,2016,false
20160830,2016-08-30,30,Tuesday,3,8,August,2016,false
20160831,2016-08-31,31,Wednesday,4,8,August,2016,false
20160901,2016-09-01,1,Thursday,5,9,September,2016,false
20160902,2016-09-02,2,Friday,6,9,September,2016,false
20160903,2016-09-03,3,Saturday,7,9,September,2016,true
20160904,2016-09-04,4,Sunday,1,9,September,2016,true
20160905,2016-09-05,5,Monday,2,9,September,2016,false
20160906,2016-09-06,6,Tuesday,3,9,September,2016,false
20160907,2016-09-07,7,Wednesday,4,9,September,2016,false
20160908,2016-09-08,8,Thursday,5,9,September,2016,false
20160909,2016-09-09,9,Friday,6,9,September,2016,false
20160910,2016-09-10,10,Saturday,7,9,September,2016,true
20160911,2016-09-11,11,Sunday,1,9,September,2016,true
20160912,2016-09-12,12,Monday,2,9,September,2016,false
20160913,2016-09-13,13,Tuesday,3,9,September,2016,false
20160914,2016-09-14,14,Wednesday,4,9,September,2016,false
20160915,2016-09-15,15,Thursday,5,9,September,2016,false
20160916,2016-09-16,16,Friday,6,9,September,2016,false
20160917,2016-09-17,17,Saturday,7,9,September,2016,true
20160918,2016-09-18,18,Sunday,1,9,September,2016,true
20160919,2016-09-19,19,Monday,2,9,September,2016,false
20160920,2016-09-20,20,Tuesday,3,9,September,2016,false
20160921,2016-09-21,21,Wednesday,4,9,September,2016,false
20160922,2016-09-22,22,Thursday,5,9,September,2016,false
20160923,2016-09-23,23,Friday,6,9,September,2016,false
20160924,2016-09-24,24,Saturday,7,9,September,2016,true
20160925,2016-09-25,25,Sunday,1,9,September,2016,true
20160926,2016-09-26,26,Monday,2,9,September,2016,false
20160927,2016-09-27,27,Tuesday,3,9,September,2016,false
20160928,2016-09-28,28,Wednesday,4,9,September,2016,false
20160929,2016-09-29,29,Thursday,5,9,September,2016,false
20160930,2016-09-30,30,Friday,6,9,September,2016,false
20161001,2016-10-01,1,Saturday,7,10,October,2016,true
20161002,2016-10-02,2,Sunday,1,10,October,2016,true
20161003,2016-10-03,3,Monday,2,10,October,2016,false
20161004,2016-10-04,4,Tuesday,3,10,October,2016,false
20161005,2016-10-05,5,Wednesday,4,10,October,2016,false
20161006,2016-10-06,6,Thursday,5,10,October,2016,false
20161007,2016-10-07,7,Friday,6,10,October,2016,false
20161008,2016-10-08,8,Saturday,7,10,October,2016,true
20161009,2016-10-09,9,Sunday,1,10,October,2016,true
20161010,2016-10-10,10,Monday,2,10,October,2016,false
20161011,2016-10-11,11,Tuesday,3,10,October,2016,false
20161012,2016-10-12,12,Wednesday,4,10,October,2016,false
20161013,2016-10-13,13,Thursday,5,10,October,2016,false
20161014,2016-10-14,14,Friday,6,10,October,2016,false
20161015,2016-10-15,15,Saturday,7,10,October,2016,true
20161016,2016-10-16,16,Sunday,1,10,October,2016,true
20161017,2016-10-17,17,Monday,2,10,October,2016,false
20161018,2016-10-18,18,Tuesday,3,10,October,2016,false
20161019,2016-10-19,19,Wednesday,4,10,October,2016,false
20161020,2016-10-20,20,Thursday,5,10,October,2016,false
20161021,2016-10-21,21,Friday,6,10,October,2016,false
20161022,2016-10-22,22,Saturday,7,10,October,2016,true
20161023,2016-10-23,23,Sunday,1,10,October,2016,true
20161024,2016-10-24,24,Monday,2,10,October,2016,false
20161025,2016-10-25,25,Tuesday,3,10,October,2016,false
20161026,2016-10-26,26,Wednesday,4,10,October,2016,false
20161027,2016-10-27,27,Thursday,5,10,October,2016,false
20161028,2016-10-28,28,Friday,6,10,October,2016,false
20161029,2016-10-29,29,Saturday,7,10,October,2016,true
20161030,2016-10-30,30,Sunday,1,10,October,2016,true
20161031,2016-10-31,31,Monday,2,10,October,2016,false
20161101,2016-11-01,1,Tuesday,3,11,November,2016,false
20161102,2016-11-02,2,Wednesday,4,11,November,2016,false
20161103,2016-11-03,3,Thursday,5,11,November,2016,false
20161104,2016-11-04,4,Friday,6,11,November,2016,false
20161105,2016-11-05,5,Saturday,7,11,November,2016,true
20161106,2016-11-06,6,Sunday,1,11,November,2016,true
20161107,2016-11-07,7,Monday,2,11,November,2016,false
20161108,2016-11-08,8,Tuesday,3,11,November,2016,false
20161109,2016-11-09,9,Wednesday,4,11,November,2016,false
20161110,2016-11-10,10,Thursday,5,11,November,2016,false
20161111,2016-11-11,11,Friday,6,11,November,2016,false
20161112,2016-11-12,12,Saturday,7,11,November,2016,true
20161113,2016-11-13,13,Sunday,1,11,November,2016,true
20161114,2016-11-14,14,Monday,2,11,November,2016,false
20161115,2016-11-15,15,Tuesday,3,11,November,2016,false
20161116,2016-11-16,16,Wednesday,4,11,November,2016,false
20161117,2016-11-17,17,Thursday,5,11,November,2016,false
20161118,2016-11-18,18,Friday,6,11,November,2016,false
20161119,2016-11-19,19,Saturday,7,11,November,2016,true
20161120,2016-11-20,20,Sunday,1,11,November,2016,true
20161121,2016-11-21,21,Monday,2,11,November,2016,false
20161122,2016-11-22,22,Tuesday,3,11,November,2016,false
20161123,2016-11-23,23,Wednesday,4,11,November,2016,false
20161124,2016-11-24,24,Thursday,5,11,November,2016,false
20161125,2016-11-25,25,Friday,6,11,November,2016,false
20161126,2016-11-26,26,Saturday,7,11,November,2016,true
20161127,2016-11-27,27,Sunday,1,11,November,2016,true
20161128,2016-11-28,28,Monday,2,11,November,2016,false
20161129,2016-11-29,29,Tuesday,3,11,November,2016,false
20161130,2016-11-30,30,Wednesday,4,11,November,2016,false
20161201,2016-12-01,1,Thursday,5,12,December,2016,false
20161202,2016-12-02,2,Friday,6,12,December,2016,false
20161203,2016-12-03,3,Saturday,7,12,December,2016,true
20161204,2016-12-04,4,Sunday,1,12,December,2016,true
20161205,2016-12-05,5,Monday,2,12,December,2016,false
20161206,2016-12-06,6,Tuesday,3,12,December,2016,false
20161207,2016-12-07,7,Wednesday,4,12,December,2016,false
20161208,2016-12-08,8,Thursday,5,12,December,2016,false
20161209,2016-12-09,9,Friday,6,12,December,2016,false
20161210,2016-12-10,10,Saturday,7,12,December,2016,true
20161211,2016-12-11,11,Sunday,1,12,December,2016,true
20161212,2016-12-12,12,Monday,2,12,December,2016,false
20161213,2016-12-13,13,Tuesday,3,12,December,2016,false
20161214,2016-12-14,14,Wednesday,4,12,December,2016,false
20161215,2016-12-15,15,Thursday,5,12,December,2016,false
20161216,2016-12-16,16,Friday,6,12,December,2016,false
20161217,2016-12-17,17,Saturday,7,12,December,2016,true
20161218,2016-12-18,18,Sunday,1,12,December,2016,true
20161219,2016-12-19,19,Monday,2,12,December,2016,false
20161220,2016-12-20,20,Tuesday,3,12,December,2016,false
20161221,2016-12-21,21,Wednesday,4,12,December,2016,false
20161222,2016-12-22,22,Thursday,5,12,December,2016,false
